Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point,
Perham,46.61049,-95.60188,1375,2023,1,1,17.643,
Perham,46.61049,-95.60188,1375,2023,1,2,11.306,
Perham,46.61049,-95.60188,1375,2023,1,3,9.699,
Perham,46.61049,-95.60188,1375,2023,1,4,17.853,
Perham,46.61049,-95.60188,1375,2023,1,5,9.379,
Perham,46.61049,-95.60188,1375,2023,1,6,-1.342,
Perham,46.61049,-95.60188,1375,2023,1,7,0.062,
Perham,46.61049,-95.60188,1375,2023,1,8,9.72,
Perham,46.61049,-95.60188,1375,2023,1,9,13.857,
Perham,46.61049,-95.60188,1375,2023,1,10,24.732,
Perham,46.61049,-95.60188,1375,2023,1,11,21.842,
Perham,46.61049,-95.60188,1375,2023,1,12,8.828,
Perham,46.61049,-95.60188,1375,2023,1,13,0.279,
Perham,46.61049,-95.60188,1375,2023,1,14,14.328,
Perham,46.61049,-95.60188,1375,2023,1,15,26.121,
Perham,46.61049,-95.60188,1375,2023,1,16,28.391,
Perham,46.61049,-95.60188,1375,2023,1,17,18.646,
Perham,46.61049,-95.60188,1375,2023,1,18,18.828,
Perham,46.61049,-95.60188,1375,2023,1,19,21.904,
Perham,46.61049,-95.60188,1375,2023,1,20,17.064,
Perham,46.61049,-95.60188,1375,2023,1,21,14.345,
Perham,46.61049,-95.60188,1375,2023,1,22,3.249,
Perham,46.61049,-95.60188,1375,2023,1,23,18.849,
Perham,46.61049,-95.60188,1375,2023,1,24,18.886,
Perham,46.61049,-95.60188,1375,2023,1,25,6.727,
Perham,46.61049,-95.60188,1375,2023,1,26,6.077,
Perham,46.61049,-95.60188,1375,2023,1,27,6.077,
Perham,46.61049,-95.60188,1375,2023,1,28,-15.432,
Perham,46.61049,-95.60188,1375,2023,1,29,-17.22,
Perham,46.61049,-95.60188,1375,2023,1,30,-20.628,
Perham,46.61049,-95.60188,1375,2023,1,31,-11.976,
Perham,46.61049,-95.60188,1375,2023,2,1,-3.772,
Perham,46.61049,-95.60188,1375,2023,2,2,-14.175,
Perham,46.61049,-95.60188,1375,2023,2,3,-17.971,
Perham,46.61049,-95.60188,1375,2023,2,4,5.281,
Perham,46.61049,-95.60188,1375,2023,2,5,9.544,
Perham,46.61049,-95.60188,1375,2023,2,6,22.962,
Perham,46.61049,-95.60188,1375,2023,2,7,19.014,
Perham,46.61049,-95.60188,1375,2023,2,8,22.746,
Perham,46.61049,-95.60188,1375,2023,2,9,13.068,
Perham,46.61049,-95.60188,1375,2023,2,10,8.346,
Perham,46.61049,-95.60188,1375,2023,2,11,21.029,
Perham,46.61049,-95.60188,1375,2023,2,12,22.753,
Perham,46.61049,-95.60188,1375,2023,2,13,20.121,
Perham,46.61049,-95.60188,1375,2023,2,14,28.307,
Perham,46.61049,-95.60188,1375,2023,2,15,2.55,
Perham,46.61049,-95.60188,1375,2023,2,16,-5.057,
Perham,46.61049,-95.60188,1375,2023,2,17,4.856,
Perham,46.61049,-95.60188,1375,2023,2,18,20.491,
Perham,46.61049,-95.60188,1375,2023,2,19,7.895,
Perham,46.61049,-95.60188,1375,2023,2,20,8.237,
Perham,46.61049,-95.60188,1375,2023,2,21,-5.106,
Perham,46.61049,-95.60188,1375,2023,2,22,-7.978,
Perham,46.61049,-95.60188,1375,2023,2,23,-5.242,
Perham,46.61049,-95.60188,1375,2023,2,24,-11.952,
Perham,46.61049,-95.60188,1375,2023,2,25,-2.092,
Perham,46.61049,-95.60188,1375,2023,2,26,2.268,
Perham,46.61049,-95.60188,1375,2023,2,27,22.81,
Perham,46.61049,-95.60188,1375,2023,2,28,14.806,
Perham,46.61049,-95.60188,1375,2023,3,1,15.061,
Perham,46.61049,-95.60188,1375,2023,3,2,6.399,
Perham,46.61049,-95.60188,1375,2023,3,3,21.353,
Perham,46.61049,-95.60188,1375,2023,3,4,12.903,
Perham,46.61049,-95.60188,1375,2023,3,5,12.386,
Perham,46.61049,-95.60188,1375,2023,3,6,14.085,
Perham,46.61049,-95.60188,1375,2023,3,7,8.947,
Perham,46.61049,-95.60188,1375,2023,3,8,27.087,
Perham,46.61049,-95.60188,1375,2023,3,9,27.944,
Perham,46.61049,-95.60188,1375,2023,3,10,20.373,
Perham,46.61049,-95.60188,1375,2023,3,11,20.946,
Perham,46.61049,-95.60188,1375,2023,3,12,18.457,
Perham,46.61049,-95.60188,1375,2023,3,13,8.212,
Perham,46.61049,-95.60188,1375,2023,3,14,10.725,
Perham,46.61049,-95.60188,1375,2023,3,15,23.606,
Perham,46.61049,-95.60188,1375,2023,3,16,17.103,
Perham,46.61049,-95.60188,1375,2023,3,17,-2.895,
Perham,46.61049,-95.60188,1375,2023,3,18,0.848,
Perham,46.61049,-95.60188,1375,2023,3,19,6.206,
Perham,46.61049,-95.60188,1375,2023,3,20,7.306,
Perham,46.61049,-95.60188,1375,2023,3,21,16.912,
Perham,46.61049,-95.60188,1375,2023,3,22,22.274,
Perham,46.61049,-95.60188,1375,2023,3,23,7.965,
Perham,46.61049,-95.60188,1375,2023,3,24,10.824,
Perham,46.61049,-95.60188,1375,2023,3,25,19.601,
Perham,46.61049,-95.60188,1375,2023,3,26,7.468,
Perham,46.61049,-95.60188,1375,2023,3,27,5.929,
Perham,46.61049,-95.60188,1375,2023,3,28,1.874,
Perham,46.61049,-95.60188,1375,2023,3,29,-3.61,
Perham,46.61049,-95.60188,1375,2023,3,30,10.199,
Perham,46.61049,-95.60188,1375,2023,3,31,22.217,
Perham,46.61049,-95.60188,1375,2023,4,1,6.964,
Perham,46.61049,-95.60188,1375,2023,4,2,24.178,
Perham,46.61049,-95.60188,1375,2023,4,3,25.731,
Perham,46.61049,-95.60188,1375,2023,4,4,26.508,
Perham,46.61049,-95.60188,1375,2023,4,5,19.435,
Perham,46.61049,-95.60188,1375,2023,4,6,12.458,
Perham,46.61049,-95.60188,1375,2023,4,7,13.73,
Perham,46.61049,-95.60188,1375,2023,4,8,25.032,
Perham,46.61049,-95.60188,1375,2023,4,9,31.15,
Perham,46.61049,-95.60188,1375,2023,4,10,30.829,
Perham,46.61049,-95.60188,1375,2023,4,11,37.746,
Perham,46.61049,-95.60188,1375,2023,4,12,37.356,
Perham,46.61049,-95.60188,1375,2023,4,13,37.854,
Perham,46.61049,-95.60188,1375,2023,4,14,36.482,
Perham,46.61049,-95.60188,1375,2023,4,15,32.052,
Perham,46.61049,-95.60188,1375,2023,4,16,24.299,
Perham,46.61049,-95.60188,1375,2023,4,17,22.558,
Perham,46.61049,-95.60188,1375,2023,4,18,20.169,E
Perham,46.61049,-95.60188,1375,2023,4,19,28.739,
Perham,46.61049,-95.60188,1375,2023,4,20,31.505,
Perham,46.61049,-95.60188,1375,2023,4,21,25.449,
