Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point
Pine Point,47.01272,-95.37151,1564,2022,1,1,-30.186
Pine Point,47.01272,-95.37151,1564,2022,1,2,-24.401
Pine Point,47.01272,-95.37151,1564,2022,1,3,3.145
Pine Point,47.01272,-95.37151,1564,2022,1,4,7.8
Pine Point,47.01272,-95.37151,1564,2022,1,5,-6.906
Pine Point,47.01272,-95.37151,1564,2022,1,6,-25.283
Pine Point,47.01272,-95.37151,1564,2022,1,7,-25.157
Pine Point,47.01272,-95.37151,1564,2022,1,8,2.96
Pine Point,47.01272,-95.37151,1564,2022,1,9,-20.212
Pine Point,47.01272,-95.37151,1564,2022,1,10,-19.929
Pine Point,47.01272,-95.37151,1564,2022,1,11,7.555
Pine Point,47.01272,-95.37151,1564,2022,1,12,21.868
Pine Point,47.01272,-95.37151,1564,2022,1,13,17.577
Pine Point,47.01272,-95.37151,1564,2022,1,14,3.595
Pine Point,47.01272,-95.37151,1564,2022,1,15,-10.49
Pine Point,47.01272,-95.37151,1564,2022,1,16,12.807
Pine Point,47.01272,-95.37151,1564,2022,1,17,20.155
Pine Point,47.01272,-95.37151,1564,2022,1,18,14.471
Pine Point,47.01272,-95.37151,1564,2022,1,19,-15.166
Pine Point,47.01272,-95.37151,1564,2022,1,20,-23.491
Pine Point,47.01272,-95.37151,1564,2022,1,21,1.246
Pine Point,47.01272,-95.37151,1564,2022,1,22,-8.773
Pine Point,47.01272,-95.37151,1564,2022,1,23,-13.292
Pine Point,47.01272,-95.37151,1564,2022,1,24,-12.929
Pine Point,47.01272,-95.37151,1564,2022,1,25,-22.252
Pine Point,47.01272,-95.37151,1564,2022,1,26,3.012
Pine Point,47.01272,-95.37151,1564,2022,1,27,-0.339
Pine Point,47.01272,-95.37151,1564,2022,1,28,-0.507
Pine Point,47.01272,-95.37151,1564,2022,1,29,6.807
Pine Point,47.01272,-95.37151,1564,2022,1,30,0.913
Pine Point,47.01272,-95.37151,1564,2022,1,31,7.2
Pine Point,47.01272,-95.37151,1564,2022,2,1,3.502
Pine Point,47.01272,-95.37151,1564,2022,2,2,-19
Pine Point,47.01272,-95.37151,1564,2022,2,3,-28.001
Pine Point,47.01272,-95.37151,1564,2022,2,4,-13.442
Pine Point,47.01272,-95.37151,1564,2022,2,5,0.538
Pine Point,47.01272,-95.37151,1564,2022,2,6,-3.281
Pine Point,47.01272,-95.37151,1564,2022,2,7,-0.644
Pine Point,47.01272,-95.37151,1564,2022,2,8,22.059
Pine Point,47.01272,-95.37151,1564,2022,2,9,16.763
Pine Point,47.01272,-95.37151,1564,2022,2,10,17.172
Pine Point,47.01272,-95.37151,1564,2022,2,11,-2.128
Pine Point,47.01272,-95.37151,1564,2022,2,12,-21.625
Pine Point,47.01272,-95.37151,1564,2022,2,13,-17.2
Pine Point,47.01272,-95.37151,1564,2022,2,14,-8.033
Pine Point,47.01272,-95.37151,1564,2022,2,15,4.744
Pine Point,47.01272,-95.37151,1564,2022,2,16,1.692
Pine Point,47.01272,-95.37151,1564,2022,2,17,-18.877
Pine Point,47.01272,-95.37151,1564,2022,2,18,-4.655
Pine Point,47.01272,-95.37151,1564,2022,2,19,-4.321
Pine Point,47.01272,-95.37151,1564,2022,2,20,10.184
Pine Point,47.01272,-95.37151,1564,2022,2,21,-6.021
Pine Point,47.01272,-95.37151,1564,2022,2,22,-12.889
Pine Point,47.01272,-95.37151,1564,2022,2,23,-21.757
Pine Point,47.01272,-95.37151,1564,2022,2,24,-22.932
Pine Point,47.01272,-95.37151,1564,2022,2,25,-17.469
Pine Point,47.01272,-95.37151,1564,2022,2,26,5.11
Pine Point,47.01272,-95.37151,1564,2022,2,27,9.872
Pine Point,47.01272,-95.37151,1564,2022,2,28,17.597
Pine Point,47.01272,-95.37151,1564,2022,3,1,14.867
Pine Point,47.01272,-95.37151,1564,2022,3,2,7.387
Pine Point,47.01272,-95.37151,1564,2022,3,3,-10.947
Pine Point,47.01272,-95.37151,1564,2022,3,4,2.334
Pine Point,47.01272,-95.37151,1564,2022,3,5,12.911
Pine Point,47.01272,-95.37151,1564,2022,3,6,14.305
Pine Point,47.01272,-95.37151,1564,2022,3,7,7.487
Pine Point,47.01272,-95.37151,1564,2022,3,8,14.621
Pine Point,47.01272,-95.37151,1564,2022,3,9,-5.03
Pine Point,47.01272,-95.37151,1564,2022,3,10,-4.125
Pine Point,47.01272,-95.37151,1564,2022,3,11,-8.926
Pine Point,47.01272,-95.37151,1564,2022,3,12,-3.476
Pine Point,47.01272,-95.37151,1564,2022,3,13,14.943
Pine Point,47.01272,-95.37151,1564,2022,3,14,9.101
Pine Point,47.01272,-95.37151,1564,2022,3,15,26.225
Pine Point,47.01272,-95.37151,1564,2022,3,16,32.327
Pine Point,47.01272,-95.37151,1564,2022,3,17,29.844
Pine Point,47.01272,-95.37151,1564,2022,3,18,25.097
Pine Point,47.01272,-95.37151,1564,2022,3,19,25.022
Pine Point,47.01272,-95.37151,1564,2022,3,20,25.835
Pine Point,47.01272,-95.37151,1564,2022,3,21,32.135
Pine Point,47.01272,-95.37151,1564,2022,3,22,30.911
Pine Point,47.01272,-95.37151,1564,2022,3,23,28.859
Pine Point,47.01272,-95.37151,1564,2022,3,24,29.689
Pine Point,47.01272,-95.37151,1564,2022,3,25,19.632
Pine Point,47.01272,-95.37151,1564,2022,3,26,3.224
Pine Point,47.01272,-95.37151,1564,2022,3,27,-4.324
Pine Point,47.01272,-95.37151,1564,2022,3,28,7.029
Pine Point,47.01272,-95.37151,1564,2022,3,29,20.144
Pine Point,47.01272,-95.37151,1564,2022,3,30,26.125
Pine Point,47.01272,-95.37151,1564,2022,3,31,18.112
